Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045842),3/11,0.0009796865643823948,0.0226710996722373,0,0,19.66744652406417,136.2615345065707,CDC20;UBE2C;DLGAP5
GO_Biological_Process_2023,Purine Ribonucleoside Monophosphate Metabolic Process (GO:0009167),3/11,0.0009796865643823948,0.0226710996722373,0,0,19.66744652406417,136.2615345065707,GMPS;HPRT1;GART
GO_Biological_Process_2023,DNA Duplex Unwinding (GO:0032508),5/41,0.0009941310898826958,0.0227378587651077,0,0,7.312948028673835,50.55910082359342,GINS1;CDC45;MCM4;MCM6;MCM2
GO_Biological_Process_2023,DNA Integrity Checkpoint Signaling (GO:0031570),5/42,0.0011112518579663,0.0251245103979297,0,0,7.114937518163325,48.39771250743856,CDT1;CDC45;CHEK1;DONSON;CDC5L
GO_Biological_Process_2023,Mismatch Repair (GO:0006298),4/25,0.0011487623784941,0.0256774499829316,0,0,10.009957870547684,67.75810661118945,MSH6;PCNA;MSH2;EXO1
GO_Biological_Process_2023,Positive Regulation Of Protein Metabolic Process (GO:0051247),11/196,0.0012795567730173,0.0275393441481813,0,0,3.15784965293162,21.035199260224505,RAB1A;WFS1;UHRF1;PLK1;AGO2;ERBB2;CIRBP;RANBP9;LARP4B;EZR;ELAVL1
GO_Biological_Process_2023,DNA Strand Elongation Involved In DNA Replication (GO:0006271),3/12,0.0012880628681406,0.0275393441481813,0,0,17.481283422459892,116.33122559849866,PCNA;RFC4;MCM4
GO_Biological_Process_2023,Secretion (GO:0046903),3/12,0.0012880628681406,0.0275393441481813,0,0,17.481283422459892,116.33122559849866,TPD52;PRKCI;NPR1
GO_Biological_Process_2023,Regulation Of DNA-templated DNA Replication Initiation (GO:0030174),3/12,0.0012880628681406,0.0275393441481813,0,0,17.481283422459892,116.33122559849866,MCM4;MCM6;MCM2
GO_Biological_Process_2023,Chromatin Remodeling (GO:0006338),12/228,0.0013603417459588,0.0282898182712935,0,0,2.953881278538813,19.49567352804153,FOXA1;SUV39H2;SFPQ;KDM4B;CHEK1;ACTL6A;HNRNPC;BAZ1A;DEK;NUDT5;ESR1;UCHL5
GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair (GO:2000779),7/88,0.0013714757786923,0.0282898182712935,0,0,4.564364364364365,30.087686974752632,RAD51AP1;ACTR2;CHEK1;ACTL6A;UBE2N;DEK;FOXM1
GO_Biological_Process_2023,Regulation Of DNA Recombination (GO:0000018),5/44,0.0013757435282325,0.0282898182712935,0,0,6.749379652605459,44.470049066228114,RAD51AP1;MSH6;MSH2;CHEK1;KPNA2
